,T,FH,DD,Q,DR,RH,U,N
2020-04-10 00:00:00+00:00,4.461015025564713,2.6043295257995,56.449253088081036,-1.5e-323,-1.5e-323,-1.5e-323,85.21163971316867,1.947348719968744
2020-04-10 01:00:00+00:00,4.014925570787097,2.6043295257995,58.753725826961954,-1.5e-323,-1.5e-323,-1.5e-323,89.10581985658439,7.088385641173659
2020-04-10 02:00:00+00:00,3.437970298175909,2.249254834607626,62.30447273888126,-1.5e-323,-1.5e-323,-1.5e-323,91.23044727388809,7.999999986668786
2020-04-10 03:00:00+00:00,3.019567222072709,2.124627417303799,54.60894547776252,-1.5e-323,-1.5e-323,-1.5e-323,92.12462741730381,7.999999986668786
2020-04-10 04:00:00+00:00,3.17565658952401,2.3550746911919163,59.99999998275328,0.6449253088080695,-1.5e-323,-1.5e-323,92.35507469119189,7.999999986668786
2020-04-10 05:00:00+00:00,4.456373374279096,2.249254834607626,58.15969238968046,21.750745165392374,-1.5e-323,-1.5e-323,89.99999995406957,7.368434186687523
2020-04-10 06:00:00+00:00,6.3959404216991445,3.4797021084957223,79.9999997846037,73.33044640062477,-1.5e-323,-1.5e-323,82.35507469119192,6.632578461760431
2020-04-10 07:00:00+00:00,8.045209315635901,4.355074691191916,77.50745165392391,133.39567047420047,-1.5e-323,-1.5e-323,75.35507469119192,6.40366222360592
2020-04-10 08:00:00+00:00,9.84056766435026,3.3550746911919163,78.15969238968228,193.4564191891045,-1.5e-323,-1.5e-323,66.04641651285624,7.315782906656231
2020-04-10 09:00:00+00:00,11.963612391739076,2.710149382383804,65.26118621352089,223.41313266374277,-1.5e-323,-1.5e-323,54.772533387681506,5.64949538064937
2020-04-10 10:00:00+00:00,12.810702463446944,3.3550746911919163,59.405966562719186,257.66628301858873,-1.5e-323,-1.5e-323,44.2304472738881,6.105302560062569
2020-04-10 11:00:00+00:00,13.783896223914269,3.3550746911919163,58.15969238968046,243.16494201372961,-1.5e-323,-1.5e-323,38.21163971316855,7.316289230880216
2020-04-10 12:00:00+00:00,15.003179439159112,3.124627417303799,52.95671347463849,247.18807560719506,-1.5e-323,-1.5e-323,38.644925308808084,7.544192820586829
2020-04-10 13:00:00+00:00,15.288537875199864,2.4797021084957187,62.898506176161845,224.54343148496991,-1.5e-323,-1.5e-323,36.04059578300857,7.052651280031256
2020-04-10 14:00:00+00:00,15.613761424817582,3.124627417303799,54.79702108495718,199.78282074356662,-1.5e-323,-1.5e-323,35.00000004483789,7.684217093343754
2020-04-10 15:00:00+00:00,15.310283919501465,3.3550746911919163,45.855219650800336,132.82463003709393,-1.5e-323,-1.5e-323,37.99119860858309,6.105302560062569
2020-04-10 16:00:00+00:00,14.290000087326337,3.4797021084957223,59.81192439280494,84.45925925738311,-1.5e-323,-1.5e-323,37.34627329977434,7.052651280031256
2020-04-10 17:00:00+00:00,12.49088022646805,2.4797021084957187,53.55074691191908,27.579701235232335,-1.5e-323,-1.5e-323,44.411497373350585,7.999999986668786
2020-04-10 18:00:00+00:00,9.744074161588003,1.710149382383804,51.24627417303782,1.3550746911919163,-1.5e-323,-1.5e-323,57.15642180889495,7.999999986668786
2020-04-10 19:00:00+00:00,9.153492001276902,1.4797021084957152,57.69552726111897,-1.5e-323,-1.5e-323,-1.5e-323,55.379702981759124,7.999999986668786
2020-04-10 20:00:00+00:00,8.185656502197673,2.230447273888103,62.30447273888126,-1.5e-323,-1.5e-323,-1.5e-323,62.531939351199526,7.999999986668786
2020-04-10 21:00:00+00:00,6.711746131627962,2.3550746911919163,69.9999999634376,-1.5e-323,-1.5e-323,-1.5e-323,72.70432865253616,7.999999986668786
2020-04-10 22:00:00+00:00,5.668999645048814,2.3550746911919163,85.20297891504283,-1.5e-323,-1.5e-323,-1.5e-323,74.38686908278305,7.772096410293429
2020-04-10 23:00:00+00:00,5.43102934687289,2.3550746911919163,84.42086987056791,-1.5e-323,-1.5e-323,-1.5e-323,73.14343497802338,7.999999986668786
2020-04-11 00:00:00+00:00,3.862044634416634,2.5855219650800336,86.91341821664355,-1.5e-323,-1.5e-323,-1.5e-323,76.46223991895249,7.999999986668786
2020-04-11 01:00:00+00:00,4.181448327450028,2.230447273888103,93.55074691191908,-1.5e-323,-1.5e-323,-1.5e-323,70.94492268901809,7.999999986668786
2020-04-11 02:00:00+00:00,2.90361291569711,2.230447273888103,92.30447273888126,-1.5e-323,-1.5e-323,-1.5e-323,78.64506590209942,7.999999986668786
2020-04-11 03:00:00+00:00,2.697686640653444,1.5855219650800336,72.95671347463758,-1.5e-323,-1.5e-323,-1.5e-323,78.25223549617726,7.999999986668786
2020-04-11 04:00:00+00:00,2.4421934055160364,2.230447273888103,84.60894547776252,0.6449253088080695,-1.5e-323,-1.5e-323,79.93477592642421,7.999999986668786
2020-04-11 05:00:00+00:00,3.8939251285095224,1.3550746911919163,73.36267130472424,21.52029789150428,-1.5e-323,-1.5e-323,80.11880668745607,4.64949538064937
2020-04-11 06:00:00+00:00,7.637970298175905,2.230447273888103,91.05819856584321,75.72611687482522,-1.5e-323,-1.5e-323,69.30581811005754,3.3674215382395687
2020-04-11 07:00:00+00:00,9.973477767295101,2.5855219650800336,92.95671347463849,138.2840298877685,-1.5e-323,-1.5e-323,58.592688066104074,4.4220981151667615
2020-04-11 08:00:00+00:00,12.485358436040713,3.230447273888103,111.8985149087955,190.67671970039942,-1.5e-323,-1.5e-323,51.86955185284842,7.087372992725662
